List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Inventory,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew
3708,CA-CBLP663,6.72E+11,CBL-PWEX-0663,Supermicro,Power Cable,Component,Cable,Power Cable,"Supermicro CBL-PWEX-0663 PCIe 8 pin male (black) to CPU 8 pin female (white) power adapter, 5cm, 18AWG, 1 cable per passive GPU",10.25,1,Recurring,01 January 2019,L,1,0,0
788,GP-NEXCPKO,,90-XB3TOKSL001P0-,ASUS,Bag & Sleeve,PC & Laptop,Accessory,Bag & Sleeve,ASUS 90-XB3TOKSL001P0- GROUPON Nexus 7 Travel Cover (Pink),9.23,1,Recurring,01 January 2019,L,0.5,0,0
607,FX-832EBOX,7.30E+11,FD832EWMHKBOX,AMD,Others,Component,CPU / Processor,Desktop CPU,"AMD FX-8320E Eight-Core Vishera Processor 3.2GHz Socket AM3+, Retail",76.88,1,Recurring,01 January 2019,L,0.74,0,0
138,D318R16GH1,,HMT42GR7BFR4C-RDT,SK hynix,Server DDR3,Component,DRAM Memory,Server DRAM,SK hynix DDR3-1866 16GB/1Gx4 ECC/REG CL13 Hynix Chip Server Memory,186.55,1,Recurring,01 January 2019,L,0.08,0,0
3461,MB-A1SA25,6.72E+11,A1SAI-2550F-O,Supermicro,CPU on Board Combo,Component,Motherboard,CPU on Board Combo,Supermicro A1SAI-2550F-O Intel Atom C2550/ DDR3/ SATA3&USB3.0/ V&4GbE/ Mini-ITX Motherboard & CPU Combo ,262.4,1,Recurring,01 January 2019,L,5,0,0
1631,SC-CENTUR,8.89E+11,ROG CENTURION 7.1,ASUS,Speaker & Headset,Component,Multimedia,Speaker & Headset,ASUS ROG Centurion True 7.1 Surround Sound Gaming Headset for PC/Console with USB control box,263.42,1,Recurring,01 January 2019,L,6.5,0,0
3924,UPS-RBC57,7.31E+11,RBC57,APC,Battery Systems,Component,Power Protection / UPS,Battery Systems,APC RBC57 Replacement Battery Cartridge #57,263.94,1,Recurring,01 January 2019,L,28,0,0
3708,CA-CBLP663,6.72E+11,CBL-PWEX-0663,Supermicro,Power Cable,Component,Cable,Power Cable,"Supermicro CBL-PWEX-0663 PCIe 8 pin male (black) to CPU 8 pin female (white) power adapter, 5cm, 18AWG, 1 cable per passive GPU",,,,,,,0,0
788,GP-NEXCPKO,,90-XB3TOKSL001P0-,ASUS,Bag & Sleeve,PC & Laptop,Accessory,Bag & Sleeve,ASUS 90-XB3TOKSL001P0- GROUPON Nexus 7 Travel Cover (Pink),,,,,,,0,0
607,FX-832EBOX,7.30E+11,FD832EWMHKBOX,AMD,Others,Component,CPU / Processor,Desktop CPU,"AMD FX-8320E Eight-Core Vishera Processor 3.2GHz Socket AM3+, Retail",,,,,,,0,0
