List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew,Blowout
3708,CA-CBLP663,6.72E+11,CBL-PWEX-0663,Supermicro,Power Cable,Component,Cable,Power Cable,"Supermicro CBL-PWEX-0663 PCIe 8 pin male (black) to CPU 8 pin female (white) power adapter, 5cm, 18AWG, 1 cable per passive GPU",10.25,7.6875,1,2.5,0.0625,Recurring,01-Jan-19,L,1,0,0,1000
788,GP-NEXCPKO,,90-XB3TOKSL001P0-,ASUS,Bag & Sleeve,PC & Laptop,Accessory,Bag & Sleeve,ASUS 90-XB3TOKSL001P0- GROUPON Nexus 7 Travel Cover (Pink),9.23,4.23,1,2.5,2.5,Recurring,01-Jan-19,L,0.5,0,0,1000
607,FX-832EBOX,7.30E+11,FD832EWMHKBOX,AMD,Others,Component,CPU / Processor,Desktop CPU,"AMD FX-8320E Eight-Core Vishera Processor 3.2GHz Socket AM3+, Retail",76.88,57.66,1,2.5,16.72,Recurring,01-Jan-19,L,0.74,0,0,1000
3346,SP-2GBD3S,8.85E+11,QNA-SP-2GB-DDR3SO  RAM-2GDR3-SO-1333,QNAP,DDR3 1333,Component,DRAM Memory,Notebook DRAM,QNAP DDR3-1333 SODIMM 2GB Notebook Memory,76.88,57.66,1,0,19.22,Recurring,01-Jan-19,L,0.1,0.011235955,0,1000
4105,SSD-DM64MN,6.72E+11,SSD-DM064-SMCMVN1,Supermicro,Accessory,Hardware & Software,Server & Workstation,Accessory,Supermicro SSD-DM064-SMCMVN1 64GB SATA DOM,92.76,69.57,1,2.5,20.69,Recurring,01-Jan-19,L,0.5,0.011235955,0,1000
138,D318R16GH1,,HMT42GR7BFR4C-RDT,SK hynix,Server DDR3,Component,DRAM Memory,Server DRAM,SK hynix DDR3-1866 16GB/1Gx4 ECC/REG CL13 Hynix Chip Server Memory,186.55,139.9125,1,0,46.6375,Recurring,01-Jan-19,L,0.08,0,0,1000
3924,UPS-RBC57,7.31E+11,RBC57,APC,Battery Systems,Component,Power Protection / UPS,Battery Systems,APC RBC57 Replacement Battery Cartridge #57,263.94,197.955,1,10,55.985,Recurring,01-Jan-19,L,28,0,0,1000
3461,MB-A1SA25,6.72E+11,A1SAI-2550F-O,Supermicro,CPU on Board Combo,Component,Motherboard,CPU on Board Combo,Supermicro A1SAI-2550F-O Intel Atom C2550/ DDR3/ SATA3&USB3.0/ V&4GbE/ Mini-ITX Motherboard & CPU Combo ,262.4,196.8,1,2.5,63.1,Recurring,01-Jan-19,L,5,0,0,1000
1631,SC-CENTUR,8.89E+11,ROG CENTURION 7.1,ASUS,Speaker & Headset,Component,Multimedia,Speaker & Headset,ASUS ROG Centurion True 7.1 Surround Sound Gaming Headset for PC/Console with USB control box,263.42,197.565,1,2.5,63.355,Recurring,01-Jan-19,L,6.5,0,0,1000
3261,AS-UN65M79,8.89E+11,UN65U-M179M,ASUS,Desktop Barebone,Component,Barebone,Desktop Barebone,Asus VivoMini UN65U-M179M Intel Core i5-7200U 2.5GHz/ V&GbE/ Barebone Desktop PC (Midnight Blue),480.72,360.54,1,2.5,117.68,Recurring,01-Jan-19,L,0.5,0.011235955,0,1000
