,List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),Qty_Remaining,Soldout/not,Sold_day,Sold,SaleRate,Blowout
0,1625,IM-FX9,8.78E+11,IM-FX9,iMicro,Cartridge & Toner,Hardware & Software,Printer & Scanner,Cartridge & Toner,iMicro IM-FX9 Compatible Toner Cartridge,17.94,13.455,3,2.5,1.985,Recurring,01-Jan-19,L,1.48,0,Sold,6,3,0.5,6
1,2939,MPC-CON-L,8.72E+11,MPC-CON-L,Cougar,Mouse Pad,Component,Input & Output Device,Mouse Pad,Cougar Control Series MPC-CON-L Gaming Mouse Pad,20.5,15.375,3,2.5,2.625,Recurring,01-Jan-19,L,1,0,Sold,6,3,0.5,6
2,1292,AS-RTN300B,8.89E+11,RT-N300/B1,ASUS,Wireless Router,Component,Networking,Wireless Networking,Asus RT-N300/B1 Wireless N 300 Router,25.62,19.215,3,2.5,3.905,Recurring,01-Jan-19,L,1.02,0,Sold,6,3,0.5,6
3,2574,FAN-R24,8.56E+11,R24,Dynatron,Server,Component,Fan & Heatsink,CPU Fan & Heatsink,Dynatron R24 2U Server CPU Fan For Intel LGA2011,32.8,24.6,3,2.5,5.7,Recurring,01-Jan-19,L,0.99,0,Sold,6,3,0.5,6
4,1332,LS-E1200NP,7.46E+11,E1200-NP,Linksys,Wireless Router,Component,Networking,Wireless Networking,Linksys E1200-NP N300 Wireless Router ,41,30.75,3,2.5,7.75,Recurring,01-Jan-19,L,1.4,0,Sold,6,3,0.5,6
5,264,SSDSCKK256,7.36E+11,SSDSCKKW256G8X1,Intel,SATA3,Component,Solid State Drive,SATA3,Intel 545s Series SSDSCKKW256G8X1 256GB M.2 SATA3 Solid State Drive (TLC),60.47,45.3525,2,2.5,12.6175,Recurring,01-Jan-19,L,0.21,0,Sold,6,2,0.333333333,6
6,218,KSM24RD_32,7.41E+11,KSM24RD4/32MEI,Kingston,Server DDR4,Component,DRAM Memory,Server DRAM,Kingston KSM24RD4/32MEI DDR4-2400 32GB/ 4Gx72 ECC/ REG CL17 Server Memory,217.3,162.975,2,2.5,51.825,Recurring,01-Jan-19,L,0.5,0,Sold,6,2,0.333333333,6
7,2974,VC511-25BL,8.4E+11,NP511-25-BLUE,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP511-25-BLUE 25ft Cat5e UTP Molded Patch Cable (Blue),8.1,3.1,1,0,5,Recurring,01-Jan-19,L,0.42,0,Sold,6,1,0.166666667,6
8,3687,TP-UH700,8.46E+11,UH700,TP-Link,USB/Firewire/HUB,Component,Networking,USB/Firewire/HUB,BLS8G4D240FSCK,30.75,23.0625,1,2.5,5.1875,Recurring,01-Jan-19,L,1.28,0,Sold,6,1,0.166666667,6
9,2987,VC611-7BK,8.4E+11,NP611-7-BLACK,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP611-7-BLACK 7ft Cat6 UTP Molded Patch Cable (Black),4.1,3.075,1,0,1.025,Recurring,01-Jan-19,L,0.13,0,Sold,8,1,0.125,8
10,20,CT424A8G_W,6.5E+11,BLS8G4D240FSCK,Crucial,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Crucial Ballistix Sport LT White DDR4-2400 8GB/1Gx64 CL16 Memory,48.18,36.135,1,2.5,9.545,Recurring,01-Jan-19,L,0.18,0,Sold,8,1,0.125,8
11,2470,FAN-CLP534,8.41E+11,CLP0534,Thermaltake,LGA 1156,Component,Fan & Heatsink,CPU Fan & Heatsink,Thermaltake CLP0534 Slim X3 Low Profile CPU Fan for Intel LGA775 & LGA1156,18.45,13.8375,12,2.5,2.1125,Recurring,01-Jan-19,Y,0.6,0,Sold,9,12,1.333333333,9
